               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.024093,           0.0090422,                   0,             0.82614,             0.46914,             0.58823,             0.30213,            0.040041,            0.030266,                   0,           0.0091783,           0.0091783,           0.0091783
                  85,            0.023942,            0.008958,                   0,             0.82976,             0.60172,             0.70275,             0.35317,            0.038361,            0.021043,                   0,           0.0091684,           0.0091684,           0.0091684
                  86,            0.023379,            0.008989,                   0,             0.77677,             0.63266,             0.72294,             0.35162,            0.039206,            0.022625,                   0,           0.0091585,           0.0091585,           0.0091585
                  87,              0.0242,           0.0091268,                   0,             0.73674,             0.62112,             0.68989,             0.33488,            0.038901,             0.02266,                   0,           0.0091486,           0.0091486,           0.0091486
                  88,            0.024264,           0.0093489,                   0,             0.81641,             0.67672,             0.73357,             0.37134,            0.038719,            0.019761,                   0,           0.0091387,           0.0091387,           0.0091387
                  89,            0.023805,           0.0088161,                   0,             0.78838,             0.60681,             0.68695,             0.35152,            0.039067,            0.022657,                   0,           0.0091288,           0.0091288,           0.0091288
                  90,            0.023841,           0.0087392,                   0,             0.70112,              0.6142,             0.66872,             0.32942,            0.037892,            0.021839,                   0,           0.0091189,           0.0091189,           0.0091189
                  91,            0.023322,           0.0088855,                   0,             0.82875,             0.60107,              0.7077,             0.35028,            0.039663,            0.024039,                   0,            0.009109,            0.009109,            0.009109
                  92,            0.023518,           0.0090605,                   0,             0.81997,             0.68239,             0.76413,             0.37715,            0.037683,            0.021057,                   0,           0.0090991,           0.0090991,           0.0090991
                  93,            0.023834,           0.0090915,                   0,             0.80549,             0.62326,             0.70389,             0.34835,             0.03993,            0.023986,                   0,           0.0090892,           0.0090892,           0.0090892
                  94,            0.023622,           0.0085077,                   0,             0.75258,             0.62658,             0.66824,             0.33518,            0.038574,            0.024255,                   0,           0.0090793,           0.0090793,           0.0090793
                  95,            0.023441,            0.008618,                   0,              0.8515,              0.5531,             0.65875,             0.32325,            0.039658,            0.027033,                   0,           0.0090694,           0.0090694,           0.0090694
