               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.024833,           0.0094729,                   0,             0.79439,             0.66022,             0.75333,             0.39484,             0.03622,            0.021142,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.024796,           0.0092772,                   0,             0.77554,             0.68012,             0.73856,             0.37059,            0.037982,            0.017825,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.024607,           0.0092817,                   0,             0.75123,             0.60007,             0.68694,             0.35503,             0.03984,            0.023323,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.025089,           0.0091125,                   0,              0.6972,             0.68433,             0.72369,             0.36862,            0.038022,            0.019062,                   0,            0.007129,            0.007129,            0.007129
                  60,             0.02483,           0.0094451,                   0,             0.77532,              0.6192,             0.71316,             0.36657,            0.038113,            0.021229,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,             0.02428,           0.0091234,                   0,             0.82937,             0.64506,             0.73226,             0.36431,            0.037458,             0.01791,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.024258,           0.0093236,                   0,             0.83647,             0.63541,             0.73532,             0.37674,            0.036983,            0.019615,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.024162,           0.0089093,                   0,             0.76236,             0.64353,             0.72559,              0.3742,            0.037256,            0.022214,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.023792,           0.0090895,                   0,             0.84449,             0.56875,             0.72762,             0.37743,            0.040223,            0.026192,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.023784,           0.0090393,                   0,             0.83974,             0.65714,             0.78308,             0.39785,            0.038621,            0.023015,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.024043,           0.0091641,                   0,             0.79614,             0.66225,             0.75974,             0.39114,            0.038618,            0.022391,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.023355,           0.0087272,                   0,             0.78763,             0.67763,             0.72968,             0.37953,            0.040116,            0.022127,                   0,            0.006733,            0.006733,            0.006733
                  68,             0.02394,           0.0091556,                   0,             0.76562,             0.64127,             0.71467,             0.37184,            0.039863,            0.022187,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.023306,           0.0090531,                   0,             0.79811,             0.70679,             0.75862,             0.37938,            0.038687,            0.018396,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.023567,           0.0088461,                   0,             0.75875,               0.629,             0.73145,             0.36965,            0.039643,            0.021883,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.023274,           0.0088473,                   0,             0.77287,             0.63467,              0.7257,             0.37213,            0.038539,            0.019982,                   0,            0.006535,            0.006535,            0.006535
                  72,             0.02344,           0.0087556,                   0,             0.68912,              0.6192,             0.67577,              0.3373,            0.039933,            0.022419,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.022838,           0.0086835,                   0,             0.73733,             0.61987,              0.7317,             0.36976,            0.038358,            0.022392,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.023578,           0.0085275,                   0,             0.80184,             0.61546,             0.76233,             0.39349,            0.037412,            0.024833,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.023165,           0.0090287,                   0,             0.78768,             0.69559,             0.75159,             0.37015,            0.037557,            0.020848,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.022997,           0.0089225,                   0,             0.77793,             0.64762,             0.73557,             0.35938,            0.036867,            0.022483,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.022639,           0.0085802,                   0,             0.77174,             0.65517,             0.72391,             0.37111,            0.038229,             0.01982,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.022853,           0.0086687,                   0,             0.71587,             0.58204,             0.67431,             0.34709,            0.038183,            0.024624,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.022888,           0.0091207,                   0,             0.78923,               0.653,             0.75733,             0.37791,            0.038057,            0.020709,                   0,            0.006139,            0.006139,            0.006139
                  80,             0.02287,           0.0085969,                   0,             0.81535,             0.60714,              0.7246,             0.36274,            0.038211,            0.021708,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,             0.02281,           0.0086732,                   0,             0.80067,             0.60703,             0.72941,             0.36206,            0.039046,            0.022762,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.021987,           0.0085331,                   0,             0.84473,             0.61426,             0.74343,             0.38094,            0.038788,            0.024175,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.022352,           0.0084736,                   0,             0.74641,             0.63323,             0.72882,             0.35472,            0.038642,            0.021357,                   0,            0.005941,            0.005941,            0.005941
