               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,             0.02023,           0.0080529,                   0,              0.7546,             0.61688,             0.71719,             0.35152,            0.039836,            0.023015,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.020041,           0.0078721,                   0,             0.82701,             0.62214,             0.75612,             0.37344,            0.039648,            0.024932,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.020213,           0.0076796,                   0,             0.80803,             0.63487,             0.76226,             0.37086,            0.039088,            0.023318,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.02004,           0.0080189,                   0,             0.82128,             0.59459,             0.74148,             0.36738,            0.039526,            0.025227,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.019883,           0.0079551,                   0,             0.85316,             0.63024,              0.7598,             0.37179,             0.03904,            0.024927,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.019788,           0.0077813,                   0,             0.83158,             0.62951,              0.7623,             0.37853,            0.039385,            0.023186,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.020177,           0.0080356,                   0,             0.86684,             0.62455,             0.78627,             0.38152,            0.039778,            0.026015,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.019908,           0.0079088,                   0,             0.82002,             0.63109,              0.7608,             0.36973,            0.038798,            0.024934,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.019433,           0.0075003,                   0,             0.80647,              0.6457,             0.75241,             0.36838,            0.039396,            0.024166,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.019348,           0.0078011,                   0,             0.81351,             0.57394,             0.73333,             0.36632,            0.039974,            0.027029,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.019321,           0.0077387,                   0,             0.80925,               0.625,             0.76448,             0.37944,            0.039233,            0.025361,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.019535,           0.0079862,                   0,             0.79783,             0.64068,             0.75649,             0.37204,             0.03939,            0.024411,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.019305,           0.0077615,                   0,             0.81525,             0.62007,             0.75406,             0.37749,            0.039437,            0.026242,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.019451,           0.0076167,                   0,             0.79053,             0.59722,             0.72236,             0.36418,            0.039525,            0.025882,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.019029,           0.0076251,                   0,             0.82748,             0.62176,             0.75909,             0.38486,            0.039238,            0.027704,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018859,           0.0075138,                   0,             0.81773,             0.61888,             0.75111,             0.38115,            0.039254,             0.02612,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.018915,           0.0074452,                   0,             0.79875,             0.60958,             0.74281,             0.37174,            0.039338,            0.025689,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.018968,           0.0077448,                   0,             0.78965,             0.58947,             0.74719,             0.37794,            0.039528,            0.026716,                   0,            0.000298,            0.000298,            0.000298
